NO.,Date,Origin Time (UTC),Latitude,Longitude,Depth(Km),Magnitude(degree),Location
202,17-03-2022,19:59:25,34.6123,45.3824,15,2.1,Salah Agha - Kalar - Garmian
203,19-03-2022,0:20:34,34.8123,46.7876,15,3.1,Kermanshah - Iran
204,19-03-2022,7:54:52,34.6883,45.3115,15,2.4,Kalar - Garmian
205,19-03-2022,18:47:04,34.8226,46.8353,5,3.9,Kermanshah - Iran
206,19-03-2022,19:38:55,34.5819,47.2819,11,2.9,Kermanshah - Iran
207,19-03-2022,19:42:59,34.5775,47.2391,10.7,2.7,Kermanshah - Iran
208,19-03-2022,22:41:39,34.167,46.6349,15,2.5,Kermanshah - Iran
209,20-03-2022,1:02:02,34.6798,45.332,11.9,2.4,Kalar - Garmian
210,20-03-2022,1:22:04,36.124,43.0226,15,2.9,Mosul
211,20-03-2022,18:09:24,34.6962,46.1513,5,3.3,Kermanshah - Iran
212,20-03-2022,20:01:26,34.7356,46.2237,5,2.4,Kermanshah - Iran
213,21-03-2022,7:08:13,34.77,46.906,15,3.8,Kermanshah - Iran
214,22-03-2022,20:29:10,34.6717,45.3007,11.9,2.6,Kalar - Garmian
215,22-03-2022,21:50:13,34.898,46.6456,11.6,2.6,Misurab - Kurdistan - Iran
216,23-03-2022,21:02:48,34.8223,45.616,15,2.6,Haji Lar - Kalar - Garmian
217,25-03-2022,16:55:31,34.6229,45.1679,15,2.2,Shakal -  Kalar - Garmian
218,26-03-2022,3:50:18,35.2499,46.4475,15,3.1,Sarw Abad  - Kurdistan - Iran
219,26-03-2022,18:30:31,34.75,47.0468,5,2.8,Kamyaran - Kermanshah - Iran
220,28-03-2022,12:54:43,35.9449,45.3363,11.7,2.5,Safra - Sharbazher - Sulaymaniyah
221,28-03-2022,18:03:41,34.3223,46.0469,11.9,3,Kermanshah - Iran
222,28-03-2022,18:14:16,35.1274,47.5623,11.6,3.4,Kermanshah - Iran
223,29-03-2022,19:04:48,34.6686,46.2944,14.2,2.9,Kermanshah - Iran
224,30-03-2022,14:35:20,35.3281,45.6702,11.7,1.8,Zarayan - Darbandihkan  - Sulaymaniyah
225,1/4/22,23:51:40,34.2849,45.8487,15,2.5,Kermanshah - Iran
226,2/4/22,8:38:53,34.5616,45.2338,15,3.2,Shaykh Lankar - Kalar - Garmian
